연번	등급분류필증번호	게임물명	신청자(상호)	신청일자	결정일자	결정등급	접수번호	등급분류기관
103	GC-CC-NP-181005-004	RICHIE’S PLANK EXPERIENCE (리치스 플랭크 익스피리언스)	주식회사 쓰리디팩토리	2018-09-17	2018-10-05	전체이용가	GC-DG-NP-18-00306	GCRB
104	GC-CC-NP-181005-005	ULTIMATE BOOSTER EXPERIENCE (얼티메이트 부스터 익스피리언스)	주식회사 쓰리디팩토리	2018-09-17	2018-10-05	전체이용가	GC-DG-NP-18-00298	GCRB
105	GC-CC-NP-181005-006	FRUIT NINJA (후루츠닌자)	주식회사 쓰리디팩토리	2018-09-17	2018-10-05	전체이용가	GC-DG-NP-18-00305	GCRB
106	GC-CC-NP-181005-007	Conflict0: Shattered(컨플릭트0: 섀터드) PC	주식회사 짚글로벌코리아	2018-09-14	2018-10-05	12세이용가	GC-DG-NP-18-00309	GCRB
107	GC-CC-NP-181005-008	SUPERHOT (슈퍼 핫)	주식회사 쓰리디팩토리	2018-09-17	2018-10-05	15세이용가	GC-DG-NV-18-00363	GCRB
108	GC-CC-NP-181005-009	세계의 미로 - 이스터 섬의 비밀 (Labyrinths of the World - Secrets of Easter Island)	넥스텝미디어 주식회사	2018-09-14	2018-10-05	12세이용가	GC-DG-NV-18-00364	GCRB
109	GC-CC-NP-181005-010	조의 영역 2화	주식회사 덱스터스튜디오	2018-09-18	2018-10-05	12세이용가	GC-DG-NV-18-00358	GCRB
110	GC-CC-NP-181005-011	잊혀진 땅 - 과거의 실수 (Lost Lands - Past Mistakes)	넥스텝미디어 주식회사	2018-09-14	2018-10-05	12세이용가	GC-DG-NV-18-00359	GCRB
111	GC-CC-NP-181005-012	Gloom (글룸)	주식회사 쓰리디팩토리	2018-09-17	2018-10-05	12세이용가	GC-DG-NP-18-00288	GCRB
112	GC-CC-NP-181005-013	브이 랠리 4 (V-Rally 4) PC	(주) 에이치투인터렉티브	2018-09-18	2018-10-05	전체이용가	GC-DG-NP-18-00304	GCRB
113	GC-CC-NP-181005-014	Vambrace: Cold Soul (뱀브레이스: 차가운 영혼)	주식회사 데베스프레소 게임즈	2018-09-18	2018-10-05	15세이용가	GC-DG-NP-18-00308	GCRB
114	GC-CC-NP-181005-015	섬광천사 리토나 리리셰	주식회사 테일즈샵	2018-09-18	2018-10-05	12세이용가	GC-DG-NV-18-00368	GCRB
115	GC-CC-NP-181005-016	컬러팝	(주)모비게임	2018-09-20	2018-10-05	전체이용가	GC-DG-NP-18-00292	GCRB
116	GC-CC-NP-181005-017	스페이스볼즈	(주)모비게임	2018-09-20	2018-10-05	전체이용가	GC-DG-NP-18-00299	GCRB
117	GC-CC-NP-181005-018	WitchsAtelier (마녀 아틀리에)	(주)지피엠	2018-10-01	2018-10-05	전체이용가	GC-DG-NP-18-00300	GCRB
118	GC-CC-NV-181005-001	[Switch] MANTIS BURN RACING(맨티스 번 레이싱)	대원미디어(주)	2018-09-13	2018-10-05	전체이용가	GC-DG-NP-18-00301	GCRB
119	GC-CC-NV-181005-002	[PS4] MANTIS BURN RACING(맨티스 번 레이싱)	대원미디어(주)	2018-09-13	2018-10-05	전체이용가	GC-DG-NP-18-00307	GCRB
120	GC-CC-NV-181005-003	Mulaka PS4 (뮬라카 PS4)	(주)인트라게임즈	2018-09-14	2018-10-05	12세이용가	GC-DG-NP-18-00311	GCRB
121	GC-CC-NV-181005-004	Mulaka Switch (뮬라카 Switch)	(주)인트라게임즈	2018-09-14	2018-10-05	12세이용가	GC-DG-NP-18-00312	GCRB
122	GC-CC-NV-181005-005	PS4 11-11 Memories Retold (일레븐 일레븐 메모리즈 리톨드)	반다이남코 엔터테인먼트 코리아(주)	2018-09-12	2018-10-05	12세이용가	GC-DG-NP-18-00316	GCRB
123	GC-CC-NV-181005-006	X1 11-11 Memories Retold (일레븐 일레븐 메모리즈 리톨드)	반다이남코 엔터테인먼트 코리아(주)	2018-09-12	2018-10-05	12세이용가	GC-DG-NV-18-00361	GCRB
124	GC-CC-NV-181005-007	RPG Maker MV (RPG 메이커 MV)	아크시스템웍스주식회사 아시아지점	2018-09-14	2018-10-05	전체이용가	GC-DG-NV-18-00362	GCRB
125	GC-CC-NV-181005-008	프로젝트 하이라이즈 (Project Highrise) NSW	(주) 에이치투인터렉티브	2018-09-17	2018-10-05	전체이용가	GC-DG-NV-18-00365	GCRB
126	GC-CC-NV-181005-009	털실 커비 이야기 플러스	한국닌텐도주식회사	2018-09-17	2018-10-05	전체이용가	GC-DG-NV-18-00367	GCRB
127	GC-CC-NV-181005-010	[PS4] 칭송받는 자 - 흩어져가는 자들을 위한 자장가	주식회사 세가퍼블리싱코리아	2018-09-18	2018-10-05	15세이용가	GC-DG-NV-18-00366	GCRB
128	GC-CC-NV-181005-011	뉴 퍼 마리오브라더스 U 디럭스	한국닌텐도주식회사	2018-09-27	2018-10-05	전체이용가	GC-DG-NV-18-00370	GCRB
129	GC-CC-NP-181019-001	BurningBridges VR on STOVE (버닝브릿지 브이알 온스토브)	(주)스마일게이트스토브	2018-10-01	2018-10-19	전체이용가	GC-DG-NP-18-00323	GCRB
130	GC-CC-NP-181019-002	[PC] Cities: Skylines (시티즈: 스카이라인)	일렉트로닉아츠코리아 (유)	2018-10-05	2018-10-19	전체이용가	GC-DG-NP-18-00303	GCRB
131	GC-CC-NP-181019-003	[PC] Jotun: Valhalla Edition (요툰: 발할라 에디션)	일렉트로닉아츠코리아 (유)	2018-10-05	2018-10-19	12세이용가	GC-DG-NP-18-00328	GCRB
132	GC-CC-NP-181019-004	Time Carnage on STOVE (타임카네이지 온스토브)	(주)스마일게이트스토브	2018-10-01	2018-10-19	15세이용가	GC-DG-NP-18-00317	GCRB
133	GC-CC-NP-181019-005	ELVEN ASSASSIN (엘븐 어쎄신)	주식회사 쓰리디팩토리	2018-09-17	2018-10-19	12세이용가	GC-DG-NP-18-00318	GCRB
